date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:34	148683/148683	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2009:35:26%20GMT	https://withumair.com/confirmation-350019	C:/My%20Web%20Sites/withumair/withumair.com/confirmation-350019.html	(from )
14:36:35	246808/246808	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2022%20Jun%202026%2009:36:35%20GMT	https://withumair.com/	C:/My%20Web%20Sites/withumair/withumair.com/index.html	(from )
14:36:35	0/0	U-----	200	untouched ('OK')	text/plain	date:Mon,%2022%20Jun%202026%2009:12:43%20GMT	https://withumair.com/robots.txt		(from )
14:36:35	67645/67645	U-----	200	untouched ('')	image/png	etag:%22b35b21a20c05f6dfdbba7596c15711ee%22	https://stcdn.leadconnectorhq.com/intl-tel-input/17.0.12/img/flags.png	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/intl-tel-input/17.0.12/img/flags.png	(from https://withumair.com/)
14:36:35	342684/342684	U-----	200	untouched ('')	application/javascript	etag:%22451f3b891a97dca0018b948601607962%22	https://stcdn.leadconnectorhq.com/_preview/Bfx9ueE_.js	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/_preview/Bfx9ueE_.js	(from https://withumair.com/)
14:36:35	364/364	U-----	200	untouched ('')	application/javascript	etag:%22c1de6ec1106a6ae05f8d7b131ed25948%22	https://stcdn.leadconnectorhq.com/_preview/DMveWpan.js	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/_preview/DMveWpan.js	(from https://withumair.com/)
14:36:36	3403/3403	U-----	200	untouched ('')	application/javascript	etag:%2263ebf043df3d50527859127daaf8a25c%22	https://stcdn.leadconnectorhq.com/_preview/mjlJy89m.js	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/_preview/mjlJy89m.js	(from https://withumair.com/)
14:36:36	27814/27814	U-----	200	untouched ('')	application/javascript	etag:%228d35aedcc47ce4d7afbebf176fef9862%22	https://stcdn.leadconnectorhq.com/_preview/Ms7JwdUZ.js	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/_preview/Ms7JwdUZ.js	(from https://withumair.com/)
14:36:36	42/42	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2022%20Jun%202026%2009:36:36%20GMT	https://www.videoask.com/embed/embed.js	C:/My%20Web%20Sites/withumair/www.videoask.com/embed/embed.1f.delayed	(from https://withumair.com/)
14:36:36	353/353	U-----	200	untouched ('')	application/javascript	etag:%22e2d98f09f6f6dab7d2a3ef2dec605af2%22	https://stcdn.leadconnectorhq.com/_preview/DYa7OZHt.js	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/_preview/DYa7OZHt.js	(from https://withumair.com/)
14:36:36	4725/4725	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2009:36:36%20GMT	https://withumair.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/withumair/withumair.com/cdn-cgi/l/email-protection	(from https://withumair.com/)
14:36:36	76495/76495	U-----	200	untouched ('')	application/javascript	etag:%2243c1184a0d3b9958e235025f95e89bda%22	https://stcdn.leadconnectorhq.com/_preview/DKgIk2Ip.js	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/_preview/DKgIk2Ip.js	(from https://withumair.com/)
14:36:37	6067/6067	U-----	200	untouched ('')	application/javascript	etag:%22e4635c93ea61c3483779183a7c6ea430%22	https://stcdn.leadconnectorhq.com/_preview/Daug-Kll.js	C:/My%20Web%20Sites/withumair/stcdn.leadconnectorhq.com/_preview/Daug-Kll.js	(from https://withumair.com/)
